intersection_index,timestamp_utc,congestion_level,speed_kmh,delay_sec,source
0,2026-03-02T10:40:00+00:00,32,44.0,48.0,synthetic
1,2026-03-02T10:40:00+00:00,39,40.5,58.5,synthetic
2,2026-03-02T10:40:00+00:00,26,47.0,39.0,synthetic
3,2026-03-02T10:40:00+00:00,33,43.5,49.5,synthetic
4,2026-03-02T10:40:00+00:00,40,40.0,60.0,synthetic
5,2026-03-02T10:40:00+00:00,46,37.0,69.0,synthetic
6,2026-03-02T10:40:00+00:00,35,42.5,52.5,synthetic
7,2026-03-02T10:40:00+00:00,45,37.5,67.5,synthetic
8,2026-03-02T10:40:00+00:00,33,43.5,49.5,synthetic
9,2026-03-02T10:40:00+00:00,38,41.0,57.0,synthetic
10,2026-03-02T10:40:00+00:00,36,42.0,54.0,synthetic
11,2026-03-02T10:40:00+00:00,41,39.5,61.5,synthetic
12,2026-03-02T10:40:00+00:00,44,38.0,66.0,synthetic
13,2026-03-02T10:40:00+00:00,53,33.5,79.5,synthetic
14,2026-03-02T10:40:00+00:00,54,33.0,81.0,synthetic
15,2026-03-02T10:40:00+00:00,52,34.0,78.0,synthetic
16,2026-03-02T10:40:00+00:00,46,37.0,69.0,synthetic
17,2026-03-02T10:40:00+00:00,45,37.5,67.5,synthetic
18,2026-03-02T10:40:00+00:00,45,37.5,67.5,synthetic
19,2026-03-02T10:40:00+00:00,44,38.0,66.0,synthetic
0,2026-03-02T10:45:00+00:00,30,45.0,45.0,synthetic
1,2026-03-02T10:45:00+00:00,41,39.5,61.5,synthetic
2,2026-03-02T10:45:00+00:00,34,43.0,51.0,synthetic
3,2026-03-02T10:45:00+00:00,27,46.5,40.5,synthetic
4,2026-03-02T10:45:00+00:00,44,38.0,66.0,synthetic
5,2026-03-02T10:45:00+00:00,36,42.0,54.0,synthetic
6,2026-03-02T10:45:00+00:00,28,46.0,42.0,synthetic
7,2026-03-02T10:45:00+00:00,37,41.5,55.5,synthetic
8,2026-03-02T10:45:00+00:00,31,44.5,46.5,synthetic
9,2026-03-02T10:45:00+00:00,30,45.0,45.0,synthetic
10,2026-03-02T10:45:00+00:00,42,39.0,63.0,synthetic
11,2026-03-02T10:45:00+00:00,35,42.5,52.5,synthetic
12,2026-03-02T10:45:00+00:00,49,35.5,73.5,synthetic
13,2026-03-02T10:45:00+00:00,44,38.0,66.0,synthetic
14,2026-03-02T10:45:00+00:00,41,39.5,61.5,synthetic
15,2026-03-02T10:45:00+00:00,44,38.0,66.0,synthetic
16,2026-03-02T10:45:00+00:00,39,40.5,58.5,synthetic
17,2026-03-02T10:45:00+00:00,40,40.0,60.0,synthetic
18,2026-03-02T10:45:00+00:00,50,35.0,75.0,synthetic
19,2026-03-02T10:45:00+00:00,44,38.0,66.0,synthetic
0,2026-03-02T10:50:00+00:00,22,49.0,33.0,synthetic
1,2026-03-02T10:50:00+00:00,41,39.5,61.5,synthetic
2,2026-03-02T10:50:00+00:00,24,48.0,36.0,synthetic
3,2026-03-02T10:50:00+00:00,28,46.0,42.0,synthetic
4,2026-03-02T10:50:00+00:00,41,39.5,61.5,synthetic
5,2026-03-02T10:50:00+00:00,32,44.0,48.0,synthetic
6,2026-03-02T10:50:00+00:00,42,39.0,63.0,synthetic
7,2026-03-02T10:50:00+00:00,38,41.0,57.0,synthetic
8,2026-03-02T10:50:00+00:00,76,22.0,114.0,synthetic
9,2026-03-02T10:50:00+00:00,34,43.0,51.0,synthetic
10,2026-03-02T10:50:00+00:00,47,36.5,70.5,synthetic
11,2026-03-02T10:50:00+00:00,32,44.0,48.0,synthetic
12,2026-03-02T10:50:00+00:00,41,39.5,61.5,synthetic
13,2026-03-02T10:50:00+00:00,43,38.5,64.5,synthetic
14,2026-03-02T10:50:00+00:00,36,42.0,54.0,synthetic
15,2026-03-02T10:50:00+00:00,38,41.0,57.0,synthetic
16,2026-03-02T10:50:00+00:00,52,34.0,78.0,synthetic
17,2026-03-02T10:50:00+00:00,36,42.0,54.0,synthetic
18,2026-03-02T10:50:00+00:00,76,22.0,114.0,synthetic
19,2026-03-02T10:50:00+00:00,49,35.5,73.5,synthetic
0,2026-03-02T10:55:00+00:00,35,42.5,52.5,synthetic
1,2026-03-02T10:55:00+00:00,51,34.5,76.5,synthetic
2,2026-03-02T10:55:00+00:00,39,40.5,58.5,synthetic
3,2026-03-02T10:55:00+00:00,33,43.5,49.5,synthetic
4,2026-03-02T10:55:00+00:00,35,42.5,52.5,synthetic
5,2026-03-02T10:55:00+00:00,26,47.0,39.0,synthetic
6,2026-03-02T10:55:00+00:00,42,39.0,63.0,synthetic
7,2026-03-02T10:55:00+00:00,42,39.0,63.0,synthetic
8,2026-03-02T10:55:00+00:00,30,45.0,45.0,synthetic
9,2026-03-02T10:55:00+00:00,29,45.5,43.5,synthetic
10,2026-03-02T10:55:00+00:00,45,37.5,67.5,synthetic
11,2026-03-02T10:55:00+00:00,41,39.5,61.5,synthetic
12,2026-03-02T10:55:00+00:00,48,36.0,72.0,synthetic
13,2026-03-02T10:55:00+00:00,50,35.0,75.0,synthetic
14,2026-03-02T10:55:00+00:00,48,36.0,72.0,synthetic
15,2026-03-02T10:55:00+00:00,46,37.0,69.0,synthetic
16,2026-03-02T10:55:00+00:00,51,34.5,76.5,synthetic
17,2026-03-02T10:55:00+00:00,50,35.0,75.0,synthetic
18,2026-03-02T10:55:00+00:00,39,40.5,58.5,synthetic
19,2026-03-02T10:55:00+00:00,37,41.5,55.5,synthetic
0,2026-03-02T11:00:00+00:00,36,42.0,54.0,synthetic
1,2026-03-02T11:00:00+00:00,36,42.0,54.0,synthetic
2,2026-03-02T11:00:00+00:00,27,46.5,40.5,synthetic
3,2026-03-02T11:00:00+00:00,26,47.0,39.0,synthetic
4,2026-03-02T11:00:00+00:00,26,47.0,39.0,synthetic
5,2026-03-02T11:00:00+00:00,40,40.0,60.0,synthetic
6,2026-03-02T11:00:00+00:00,29,45.5,43.5,synthetic
7,2026-03-02T11:00:00+00:00,32,44.0,48.0,synthetic
8,2026-03-02T11:00:00+00:00,36,42.0,54.0,synthetic
9,2026-03-02T11:00:00+00:00,28,46.0,42.0,synthetic
10,2026-03-02T11:00:00+00:00,30,45.0,45.0,synthetic
11,2026-03-02T11:00:00+00:00,33,43.5,49.5,synthetic
12,2026-03-02T11:00:00+00:00,37,41.5,55.5,synthetic
13,2026-03-02T11:00:00+00:00,35,42.5,52.5,synthetic
14,2026-03-02T11:00:00+00:00,40,40.0,60.0,synthetic
15,2026-03-02T11:00:00+00:00,42,39.0,63.0,synthetic
16,2026-03-02T11:00:00+00:00,84,18.0,126.0,synthetic
17,2026-03-02T11:00:00+00:00,43,38.5,64.5,synthetic
18,2026-03-02T11:00:00+00:00,48,36.0,72.0,synthetic
19,2026-03-02T11:00:00+00:00,41,39.5,61.5,synthetic
0,2026-03-02T11:05:00+00:00,31,44.5,46.5,synthetic
1,2026-03-02T11:05:00+00:00,25,47.5,37.5,synthetic
2,2026-03-02T11:05:00+00:00,34,43.0,51.0,synthetic
3,2026-03-02T11:05:00+00:00,27,46.5,40.5,synthetic
4,2026-03-02T11:05:00+00:00,29,45.5,43.5,synthetic
5,2026-03-02T11:05:00+00:00,25,47.5,37.5,synthetic
6,2026-03-02T11:05:00+00:00,42,39.0,63.0,synthetic
7,2026-03-02T11:05:00+00:00,42,39.0,63.0,synthetic
8,2026-03-02T11:05:00+00:00,30,45.0,45.0,synthetic
9,2026-03-02T11:05:00+00:00,25,47.5,37.5,synthetic
10,2026-03-02T11:05:00+00:00,34,43.0,51.0,synthetic
11,2026-03-02T11:05:00+00:00,40,40.0,60.0,synthetic
12,2026-03-02T11:05:00+00:00,36,42.0,54.0,synthetic
13,2026-03-02T11:05:00+00:00,37,41.5,55.5,synthetic
14,2026-03-02T11:05:00+00:00,45,37.5,67.5,synthetic
15,2026-03-02T11:05:00+00:00,31,44.5,46.5,synthetic
16,2026-03-02T11:05:00+00:00,43,38.5,64.5,synthetic
17,2026-03-02T11:05:00+00:00,47,36.5,70.5,synthetic
18,2026-03-02T11:05:00+00:00,45,37.5,67.5,synthetic
19,2026-03-02T11:05:00+00:00,37,41.5,55.5,synthetic
0,2026-03-02T11:10:00+00:00,22,49.0,33.0,synthetic
1,2026-03-02T11:10:00+00:00,35,42.5,52.5,synthetic
2,2026-03-02T11:10:00+00:00,27,46.5,40.5,synthetic
3,2026-03-02T11:10:00+00:00,24,48.0,36.0,synthetic
4,2026-03-02T11:10:00+00:00,30,45.0,45.0,synthetic
5,2026-03-02T11:10:00+00:00,69,25.5,103.5,synthetic
6,2026-03-02T11:10:00+00:00,37,41.5,55.5,synthetic
7,2026-03-02T11:10:00+00:00,31,44.5,46.5,synthetic
8,2026-03-02T11:10:00+00:00,43,38.5,64.5,synthetic
9,2026-03-02T11:10:00+00:00,25,47.5,37.5,synthetic
10,2026-03-02T11:10:00+00:00,42,39.0,63.0,synthetic
11,2026-03-02T11:10:00+00:00,42,39.0,63.0,synthetic
12,2026-03-02T11:10:00+00:00,46,37.0,69.0,synthetic
13,2026-03-02T11:10:00+00:00,46,37.0,69.0,synthetic
14,2026-03-02T11:10:00+00:00,40,40.0,60.0,synthetic
15,2026-03-02T11:10:00+00:00,39,40.5,58.5,synthetic
16,2026-03-02T11:10:00+00:00,40,40.0,60.0,synthetic
17,2026-03-02T11:10:00+00:00,45,37.5,67.5,synthetic
18,2026-03-02T11:10:00+00:00,36,42.0,54.0,synthetic
19,2026-03-02T11:10:00+00:00,44,38.0,66.0,synthetic
0,2026-03-02T11:15:00+00:00,27,46.5,40.5,synthetic
1,2026-03-02T11:15:00+00:00,23,48.5,34.5,synthetic
2,2026-03-02T11:15:00+00:00,24,48.0,36.0,synthetic
3,2026-03-02T11:15:00+00:00,25,47.5,37.5,synthetic
4,2026-03-02T11:15:00+00:00,22,49.0,33.0,synthetic
5,2026-03-02T11:15:00+00:00,34,43.0,51.0,synthetic
6,2026-03-02T11:15:00+00:00,22,49.0,33.0,synthetic
7,2026-03-02T11:15:00+00:00,33,43.5,49.5,synthetic
8,2026-03-02T11:15:00+00:00,27,46.5,40.5,synthetic
9,2026-03-02T11:15:00+00:00,41,39.5,61.5,synthetic
10,2026-03-02T11:15:00+00:00,38,41.0,57.0,synthetic
11,2026-03-02T11:15:00+00:00,40,40.0,60.0,synthetic
12,2026-03-02T11:15:00+00:00,26,47.0,39.0,synthetic
13,2026-03-02T11:15:00+00:00,41,39.5,61.5,synthetic
14,2026-03-02T11:15:00+00:00,46,37.0,69.0,synthetic
15,2026-03-02T11:15:00+00:00,43,38.5,64.5,synthetic
16,2026-03-02T11:15:00+00:00,40,40.0,60.0,synthetic
17,2026-03-02T11:15:00+00:00,33,43.5,49.5,synthetic
18,2026-03-02T11:15:00+00:00,30,45.0,45.0,synthetic
19,2026-03-02T11:15:00+00:00,44,38.0,66.0,synthetic
0,2026-03-02T11:20:00+00:00,19,50.5,28.5,synthetic
1,2026-03-02T11:20:00+00:00,19,50.5,28.5,synthetic
2,2026-03-02T11:20:00+00:00,18,51.0,27.0,synthetic
3,2026-03-02T11:20:00+00:00,30,45.0,45.0,synthetic
4,2026-03-02T11:20:00+00:00,32,44.0,48.0,synthetic
5,2026-03-02T11:20:00+00:00,29,45.5,43.5,synthetic
6,2026-03-02T11:20:00+00:00,28,46.0,42.0,synthetic
7,2026-03-02T11:20:00+00:00,28,46.0,42.0,synthetic
8,2026-03-02T11:20:00+00:00,29,45.5,43.5,synthetic
9,2026-03-02T11:20:00+00:00,39,40.5,58.5,synthetic
10,2026-03-02T11:20:00+00:00,56,32.0,84.0,synthetic
11,2026-03-02T11:20:00+00:00,44,38.0,66.0,synthetic
12,2026-03-02T11:20:00+00:00,38,41.0,57.0,synthetic
13,2026-03-02T11:20:00+00:00,38,41.0,57.0,synthetic
14,2026-03-02T11:20:00+00:00,45,37.5,67.5,synthetic
15,2026-03-02T11:20:00+00:00,27,46.5,40.5,synthetic
16,2026-03-02T11:20:00+00:00,30,45.0,45.0,synthetic
17,2026-03-02T11:20:00+00:00,39,40.5,58.5,synthetic
18,2026-03-02T11:20:00+00:00,43,38.5,64.5,synthetic
19,2026-03-02T11:20:00+00:00,33,43.5,49.5,synthetic
0,2026-03-02T11:25:00+00:00,31,44.5,46.5,synthetic
1,2026-03-02T11:25:00+00:00,33,43.5,49.5,synthetic
2,2026-03-02T11:25:00+00:00,19,50.5,28.5,synthetic
3,2026-03-02T11:25:00+00:00,24,48.0,36.0,synthetic
4,2026-03-02T11:25:00+00:00,38,41.0,57.0,synthetic
5,2026-03-02T11:25:00+00:00,33,43.5,49.5,synthetic
6,2026-03-02T11:25:00+00:00,34,43.0,51.0,synthetic
7,2026-03-02T11:25:00+00:00,22,49.0,33.0,synthetic
8,2026-03-02T11:25:00+00:00,38,41.0,57.0,synthetic
9,2026-03-02T11:25:00+00:00,24,48.0,36.0,synthetic
10,2026-03-02T11:25:00+00:00,38,41.0,57.0,synthetic
11,2026-03-02T11:25:00+00:00,32,44.0,48.0,synthetic
12,2026-03-02T11:25:00+00:00,34,43.0,51.0,synthetic
13,2026-03-02T11:25:00+00:00,42,39.0,63.0,synthetic
14,2026-03-02T11:25:00+00:00,27,46.5,40.5,synthetic
15,2026-03-02T11:25:00+00:00,39,40.5,58.5,synthetic
16,2026-03-02T11:25:00+00:00,41,39.5,61.5,synthetic
17,2026-03-02T11:25:00+00:00,42,39.0,63.0,synthetic
18,2026-03-02T11:25:00+00:00,33,43.5,49.5,synthetic
19,2026-03-02T11:25:00+00:00,39,40.5,58.5,synthetic
0,2026-03-02T11:30:00+00:00,24,48.0,36.0,synthetic
1,2026-03-02T11:30:00+00:00,21,49.5,31.5,synthetic
2,2026-03-02T11:30:00+00:00,33,43.5,49.5,synthetic
3,2026-03-02T11:30:00+00:00,35,42.5,52.5,synthetic
4,2026-03-02T11:30:00+00:00,27,46.5,40.5,synthetic
5,2026-03-02T11:30:00+00:00,26,47.0,39.0,synthetic
6,2026-03-02T11:30:00+00:00,36,42.0,54.0,synthetic
7,2026-03-02T11:30:00+00:00,24,48.0,36.0,synthetic
8,2026-03-02T11:30:00+00:00,27,46.5,40.5,synthetic
9,2026-03-02T11:30:00+00:00,35,42.5,52.5,synthetic
10,2026-03-02T11:30:00+00:00,22,49.0,33.0,synthetic
11,2026-03-02T11:30:00+00:00,24,48.0,36.0,synthetic
12,2026-03-02T11:30:00+00:00,33,43.5,49.5,synthetic
13,2026-03-02T11:30:00+00:00,38,41.0,57.0,synthetic
14,2026-03-02T11:30:00+00:00,34,43.0,51.0,synthetic
15,2026-03-02T11:30:00+00:00,27,46.5,40.5,synthetic
16,2026-03-02T11:30:00+00:00,40,40.0,60.0,synthetic
17,2026-03-02T11:30:00+00:00,38,41.0,57.0,synthetic
18,2026-03-02T11:30:00+00:00,38,41.0,57.0,synthetic
19,2026-03-02T11:30:00+00:00,43,38.5,64.5,synthetic
0,2026-03-02T11:35:00+00:00,29,45.5,43.5,synthetic
1,2026-03-02T11:35:00+00:00,20,50.0,30.0,synthetic
2,2026-03-02T11:35:00+00:00,20,50.0,30.0,synthetic
3,2026-03-02T11:35:00+00:00,27,46.5,40.5,synthetic
4,2026-03-02T11:35:00+00:00,21,49.5,31.5,synthetic
5,2026-03-02T11:35:00+00:00,28,46.0,42.0,synthetic
6,2026-03-02T11:35:00+00:00,38,41.0,57.0,synthetic
7,2026-03-02T11:35:00+00:00,25,47.5,37.5,synthetic
8,2026-03-02T11:35:00+00:00,24,48.0,36.0,synthetic
9,2026-03-02T11:35:00+00:00,55,32.5,82.5,synthetic
10,2026-03-02T11:35:00+00:00,27,46.5,40.5,synthetic
11,2026-03-02T11:35:00+00:00,33,43.5,49.5,synthetic
12,2026-03-02T11:35:00+00:00,25,47.5,37.5,synthetic
13,2026-03-02T11:35:00+00:00,33,43.5,49.5,synthetic
14,2026-03-02T11:35:00+00:00,35,42.5,52.5,synthetic
15,2026-03-02T11:35:00+00:00,33,43.5,49.5,synthetic
16,2026-03-02T11:35:00+00:00,26,47.0,39.0,synthetic
17,2026-03-02T11:35:00+00:00,35,42.5,52.5,synthetic
18,2026-03-02T11:35:00+00:00,34,43.0,51.0,synthetic
19,2026-03-02T11:35:00+00:00,40,40.0,60.0,synthetic
0,2026-03-02T11:40:00+00:00,17,51.5,25.5,synthetic
1,2026-03-02T11:40:00+00:00,21,49.5,31.5,synthetic
2,2026-03-02T11:40:00+00:00,18,51.0,27.0,synthetic
3,2026-03-02T11:40:00+00:00,28,46.0,42.0,synthetic
4,2026-03-02T11:40:00+00:00,21,49.5,31.5,synthetic
5,2026-03-02T11:40:00+00:00,26,47.0,39.0,synthetic
6,2026-03-02T11:40:00+00:00,35,42.5,52.5,synthetic
7,2026-03-02T11:40:00+00:00,25,47.5,37.5,synthetic
8,2026-03-02T11:40:00+00:00,31,44.5,46.5,synthetic
9,2026-03-02T11:40:00+00:00,39,40.5,58.5,synthetic
10,2026-03-02T11:40:00+00:00,25,47.5,37.5,synthetic
11,2026-03-02T11:40:00+00:00,24,48.0,36.0,synthetic
12,2026-03-02T11:40:00+00:00,52,34.0,78.0,synthetic
13,2026-03-02T11:40:00+00:00,34,43.0,51.0,synthetic
14,2026-03-02T11:40:00+00:00,28,46.0,42.0,synthetic
15,2026-03-02T11:40:00+00:00,38,41.0,57.0,synthetic
16,2026-03-02T11:40:00+00:00,38,41.0,57.0,synthetic
17,2026-03-02T11:40:00+00:00,41,39.5,61.5,synthetic
18,2026-03-02T11:40:00+00:00,39,40.5,58.5,synthetic
19,2026-03-02T11:40:00+00:00,35,42.5,52.5,synthetic
0,2026-03-02T11:45:00+00:00,27,46.5,40.5,synthetic
1,2026-03-02T11:45:00+00:00,31,44.5,46.5,synthetic
2,2026-03-02T11:45:00+00:00,18,51.0,27.0,synthetic
3,2026-03-02T11:45:00+00:00,31,44.5,46.5,synthetic
4,2026-03-02T11:45:00+00:00,22,49.0,33.0,synthetic
5,2026-03-02T11:45:00+00:00,31,44.5,46.5,synthetic
6,2026-03-02T11:45:00+00:00,36,42.0,54.0,synthetic
7,2026-03-02T11:45:00+00:00,28,46.0,42.0,synthetic
8,2026-03-02T11:45:00+00:00,20,50.0,30.0,synthetic
9,2026-03-02T11:45:00+00:00,26,47.0,39.0,synthetic
10,2026-03-02T11:45:00+00:00,22,49.0,33.0,synthetic
11,2026-03-02T11:45:00+00:00,37,41.5,55.5,synthetic
12,2026-03-02T11:45:00+00:00,40,40.0,60.0,synthetic
13,2026-03-02T11:45:00+00:00,35,42.5,52.5,synthetic
14,2026-03-02T11:45:00+00:00,23,48.5,34.5,synthetic
15,2026-03-02T11:45:00+00:00,33,43.5,49.5,synthetic
16,2026-03-02T11:45:00+00:00,42,39.0,63.0,synthetic
17,2026-03-02T11:45:00+00:00,36,42.0,54.0,synthetic
18,2026-03-02T11:45:00+00:00,35,42.5,52.5,synthetic
19,2026-03-02T11:45:00+00:00,33,43.5,49.5,synthetic
0,2026-03-02T11:50:00+00:00,27,46.5,40.5,synthetic
1,2026-03-02T11:50:00+00:00,21,49.5,31.5,synthetic
2,2026-03-02T11:50:00+00:00,20,50.0,30.0,synthetic
3,2026-03-02T11:50:00+00:00,31,44.5,46.5,synthetic
4,2026-03-02T11:50:00+00:00,25,47.5,37.5,synthetic
5,2026-03-02T11:50:00+00:00,23,48.5,34.5,synthetic
6,2026-03-02T11:50:00+00:00,25,47.5,37.5,synthetic
7,2026-03-02T11:50:00+00:00,37,41.5,55.5,synthetic
8,2026-03-02T11:50:00+00:00,29,45.5,43.5,synthetic
9,2026-03-02T11:50:00+00:00,23,48.5,34.5,synthetic
10,2026-03-02T11:50:00+00:00,35,42.5,52.5,synthetic
11,2026-03-02T11:50:00+00:00,35,42.5,52.5,synthetic
12,2026-03-02T11:50:00+00:00,32,44.0,48.0,synthetic
13,2026-03-02T11:50:00+00:00,30,45.0,45.0,synthetic
14,2026-03-02T11:50:00+00:00,24,48.0,36.0,synthetic
15,2026-03-02T11:50:00+00:00,35,42.5,52.5,synthetic
16,2026-03-02T11:50:00+00:00,26,47.0,39.0,synthetic
17,2026-03-02T11:50:00+00:00,35,42.5,52.5,synthetic
18,2026-03-02T11:50:00+00:00,44,38.0,66.0,synthetic
19,2026-03-02T11:50:00+00:00,34,43.0,51.0,synthetic
0,2026-03-02T11:55:00+00:00,30,45.0,45.0,synthetic
1,2026-03-02T11:55:00+00:00,28,46.0,42.0,synthetic
2,2026-03-02T11:55:00+00:00,20,50.0,30.0,synthetic
3,2026-03-02T11:55:00+00:00,34,43.0,51.0,synthetic
4,2026-03-02T11:55:00+00:00,26,47.0,39.0,synthetic
5,2026-03-02T11:55:00+00:00,34,43.0,51.0,synthetic
6,2026-03-02T11:55:00+00:00,34,43.0,51.0,synthetic
7,2026-03-02T11:55:00+00:00,23,48.5,34.5,synthetic
8,2026-03-02T11:55:00+00:00,26,47.0,39.0,synthetic
9,2026-03-02T11:55:00+00:00,29,45.5,43.5,synthetic
10,2026-03-02T11:55:00+00:00,25,47.5,37.5,synthetic
11,2026-03-02T11:55:00+00:00,31,44.5,46.5,synthetic
12,2026-03-02T11:55:00+00:00,30,45.0,45.0,synthetic
13,2026-03-02T11:55:00+00:00,32,44.0,48.0,synthetic
14,2026-03-02T11:55:00+00:00,33,43.5,49.5,synthetic
15,2026-03-02T11:55:00+00:00,31,44.5,46.5,synthetic
16,2026-03-02T11:55:00+00:00,27,46.5,40.5,synthetic
17,2026-03-02T11:55:00+00:00,35,42.5,52.5,synthetic
18,2026-03-02T11:55:00+00:00,40,40.0,60.0,synthetic
19,2026-03-02T11:55:00+00:00,40,40.0,60.0,synthetic
0,2026-03-02T12:00:00+00:00,29,45.5,43.5,synthetic
1,2026-03-02T12:00:00+00:00,27,46.5,40.5,synthetic
2,2026-03-02T12:00:00+00:00,34,43.0,51.0,synthetic
3,2026-03-02T12:00:00+00:00,15,52.5,22.5,synthetic
4,2026-03-02T12:00:00+00:00,27,46.5,40.5,synthetic
5,2026-03-02T12:00:00+00:00,33,43.5,49.5,synthetic
6,2026-03-02T12:00:00+00:00,27,46.5,40.5,synthetic
7,2026-03-02T12:00:00+00:00,31,44.5,46.5,synthetic
8,2026-03-02T12:00:00+00:00,31,44.5,46.5,synthetic
9,2026-03-02T12:00:00+00:00,28,46.0,42.0,synthetic
10,2026-03-02T12:00:00+00:00,26,47.0,39.0,synthetic
11,2026-03-02T12:00:00+00:00,32,44.0,48.0,synthetic
12,2026-03-02T12:00:00+00:00,37,41.5,55.5,synthetic
13,2026-03-02T12:00:00+00:00,28,46.0,42.0,synthetic
14,2026-03-02T12:00:00+00:00,36,42.0,54.0,synthetic
15,2026-03-02T12:00:00+00:00,39,40.5,58.5,synthetic
16,2026-03-02T12:00:00+00:00,24,48.0,36.0,synthetic
17,2026-03-02T12:00:00+00:00,41,39.5,61.5,synthetic
18,2026-03-02T12:00:00+00:00,39,40.5,58.5,synthetic
19,2026-03-02T12:00:00+00:00,26,47.0,39.0,synthetic
0,2026-03-02T12:05:00+00:00,30,45.0,45.0,synthetic
1,2026-03-02T12:05:00+00:00,27,46.5,40.5,synthetic
2,2026-03-02T12:05:00+00:00,15,52.5,22.5,synthetic
3,2026-03-02T12:05:00+00:00,20,50.0,30.0,synthetic
4,2026-03-02T12:05:00+00:00,18,51.0,27.0,synthetic
5,2026-03-02T12:05:00+00:00,27,46.5,40.5,synthetic
6,2026-03-02T12:05:00+00:00,19,50.5,28.5,synthetic
7,2026-03-02T12:05:00+00:00,34,43.0,51.0,synthetic
8,2026-03-02T12:05:00+00:00,22,49.0,33.0,synthetic
